PROVIDER_ID;PROVIDER_ID;The identifier of the provider;The identifier of the provider;
DETERMINATEUR;DETERMINATEUR;Déterminateur;Prénom, nom et organisme de la ou les personnes ayant réalisé la détermination taxonomique de l’observation ;
VALIDATEUR;VALIDATEUR;Validateur;Prénom, nom et/ou organisme de la personne ayant réalisée la validation scientifique de l’observation. ;
ORGANISME_GESTIONNAIRE_DONNEE;ORGANISME_GESTIONNAIRE_DONNEE;Organisme gestionnaire de la donnée;Nom de l’organisme qui détient la Donnée Source (DS) de la DEE et qui en a la responsabilité ;
ORGANISME_STANDARD;ORGANISME_STANDARD;Organisme standardisateur;Nom(s) de(s) organisme(s) qui ont participés à la standardisation de la DS en DEE (codage, formatage, recherche des données obligatoires) ;
DEPARTEMENTS;DEPARTEMENTS;Département;Département;
REGIONS;REGIONS;Région;Région;
NOM_ATTRIBUT;NOM_ATTRIBUT;Nom de l'attribut;Indique le libellé court de l’attribut ajouté en attribut additionnel ;
DEFINITION_ATTRIBUT;DEFINITION_ATTRIBUT;Définition de l'attribut;Définition de l’attribut ajouté suffisamment précise pour permettre de comprendre le sujet de l’attribut ajouté. ;
VALEUR_ATTRIBUT;VALEUR_ATTRIBUT;Valeur de l'attribut;Valeur qualitative ou quantitative de l’attribut additionnel ;
UNITE_ATTRIBUT;UNITE_ATTRIBUT;Unité de l'attribut;Unité de mesure de l’attribut. Exemple : Degré Celsius, mètre, Kilogramme;
THEMATIQUE_ATTRIBUT;THEMATIQUE_ATTRIBUT;Thématique de l’attribut;Indique la thématique par un mot clé pour lequel l’attribut a été ajouté ;
COORDS;COORDS_STRING;géométrie (gml);géométrie (gml);
